CardId,RuleFamily,RuleCategory,Trigger,Base,Translate,WordCategory,Before,After,Answer,Outcome,Why,Why-Cym
c000781,"Soft, Contact",Preposition,tan,dechrau,starting / beginning,verb-noun,Arhoswch tan,"’r rhaglen, plis.",ddechrau,SM,"tan (“until”) soft-mutates: d → dd, so dechrau → ddechrau.","Mae tan (“until”) yn treiglo’n feddal: d → dd, felly dechrau → ddechrau."
c000782,"Soft, Contact",Preposition,am,mynd,going,verb-noun,Wnest ti ddweud wrtho fe am,?,fynd,SM,"am often soft-mutates an action word after it: m → f, so mynd → fynd.","Yn aml mae am yn treiglo berfenw ar ei ôl: m → f, felly mynd → fynd."
c000783,"Soft, Contact",Preposition,am,dangos,showing,verb-noun,Mae hi am,sut mae’n gweithio.,ddangos,SM,"After am, d → dd, so dangos → ddangos (talking about an intended action: “about to / intending to show”).","Ar ôl am, d → dd, felly dangos → ddangos (pan mae rhywun yn bwriadu gwneud rhywbeth: “am ddangos…”)."
c000784,"Soft, Contact",Preposition,o,gweld,seeing,verb-noun,O,"y gwir, newidon nhw’r cynllun.",weld,SM,"o (“upon/when”) soft-mutates; initial g- disappears, so gweld → weld.","Mae o (“o weld…”) yn treiglo’n feddal; mae g- yn diflannu, felly gweld → weld."
c000785,"Soft, Contact",Preposition,o,clywed,hearing,verb-noun,O,"y newyddion, aeth hi adref.",glywed,SM,"After o, c → g, so clywed → glywed.","Ar ôl o, c → g, felly clywed → glywed."
c000786,"Soft, Contact",Preposition,ar,cael,getting (in ar gael = available),verb-noun,Mae’r adroddiad ar,i bawb.,gael,SM,"In the common phrase ar gael (“available”), ar soft-mutates c → g, so cael → gael.","Yn yr ymadrodd cyffredin ar gael (“available”), mae ar yn treiglo c → g, felly cael → gael."
c000787,"Soft, Contact",Preposition,ar,dod,coming (in ar ddod = upcoming),verb-noun,Mae rhagor o fanylion ar,yn fuan.,ddod,SM,"In ar ddod (“upcoming”), ar soft-mutates: d → dd, so dod → ddod.","Yn ar ddod (“upcoming”), mae ar yn treiglo’n feddal: d → dd, felly dod → ddod."
c000788,"Soft, Contact",Preposition,gan,dweud,saying,verb-noun,Aeth e i ffwrdd gan,dim byd.,ddweud,SM,"After gan (“…-ing”), d → dd, so dweud → ddweud.","Ar ôl gan (“gan …”), d → dd, felly dweud → ddweud."
c000789,"Soft, Contact",Preposition,gan,canu,singing,verb-noun,Aethon nhw adref gan,yn dawel.,ganu,SM,"After gan, c → g, so canu → ganu.","Ar ôl gan, c → g, felly canu → ganu."
c000790,None,Preposition,cyn,gorffen,finishing,verb-noun,Cyn,"y wers, gad i ni adolygu.",gorffen,NONE,"cyn (“before”) does not cause mutation here, so gorffen stays gorffen.","Nid yw cyn (“before”) yn achosi treiglad yma, felly mae gorffen yn aros yn gorffen."
c000792,None,Negation,Paid,torri,break / cut,verb-noun,Paid,y rhaff!,torri,NONE,"Paid makes a negative command (“Don’t …”), but on its own it doesn’t change the start of torri.","Mae Paid yn gwneud gorchymyn negyddol (“Paid â…” / “Don’t …”), ond ar ei ben ei hun nid yw’n newid dechrau torri."
c000793,"Aspirate, Contact",Preposition,â,torri,break / cut,verb-noun,Paid â,y rhaff!,thorri,AM,"With â in negative commands (Paid â …), words starting t change to th: torri → thorri.","Gyda â mewn gorchmynion negyddol (Paid â …), mae geiriau sy’n dechrau gyda t yn newid i th: torri → thorri."
c000794,None,Negation,Peidiwch,talu,pay,verb-noun,Peidiwch,ar y safle.,talu,NONE,"Peidiwch is a negative command (“Don’t …”), but it doesn’t change the start of talu by itself.","Mae Peidiwch yn orchymyn negyddol (“Don’t …”), ond nid yw’n newid dechrau talu ar ei ben ei hun."
c000795,"Aspirate, Contact",Preposition,â,talu,pay,verb-noun,Peidiwch â,ar y safle.,thalu,AM,"In Peidiwch â …, â causes the change t → th, so talu → thalu.","Yn Peidiwch â …, mae â yn achosi’r newid t → th, felly talu → thalu."
c000796,"Soft, Contact",Preposition,ar,dechrau,beginning / start,noun-masc,Mae cyfarfod ar,’r wythnos.,ddechrau,SM,"ar soft-mutates: d → dd, so dechrau → ddechrau (ar ddechrau’r wythnos).","Mae ar yn treiglo’n feddal: d → dd, felly dechrau → ddechrau (ar ddechrau’r wythnos)."
c000797,"Soft, Contact",Preposition,ar,dechrau,beginning / start,noun-masc,Cawn ni ddatganiad ar,’r mis nesaf.,ddechrau,SM,"Same rule: ar gives d → dd, so dechrau → ddechrau (ar ddechrau’r mis nesaf).","Yr un rheol: mae ar yn rhoi d → dd, felly dechrau → ddechrau (ar ddechrau’r mis nesaf)."
c000798,"Soft, Contact",Preposition,ar,diwedd,end,noun-masc,Bydd taliad ar,y mis.,ddiwedd,SM,"ar soft-mutates: d → dd, so diwedd → ddiwedd (ar ddiwedd y mis).","Mae ar yn treiglo’n feddal: d → dd, felly diwedd → ddiwedd (ar ddiwedd y mis)."
c000799,"Soft, Contact",Preposition,ar,diwedd,end,noun-masc,Trafodwn ni hyn ar,y wythnos.,ddiwedd,SM,"Same rule again: ar gives d → dd, so diwedd → ddiwedd.","Yr un rheol eto: mae ar yn rhoi d → dd, felly diwedd → ddiwedd."
c000800,"Soft, Contact",Preposition,ar,canol,middle,noun-masc,Roedden nhw’n cwrdd ar,dydd.,ganol,SM,"ar soft-mutates: c → g, so canol → ganol (ar ganol dydd = “in the middle of the day”).","Mae ar yn treiglo’n feddal: c → g, felly canol → ganol (ar ganol dydd = “in the middle of the day”)."
c000801,"Soft, Contact",Preposition,ar,canol,middle,noun-masc,Roedden ni allan ar,nos.,ganol,SM,Same pattern: canol → ganol after ar (ar ganol nos).,Yr un patrwm: canol → ganol ar ôl ar (ar ganol nos).
c000802,"Soft, Contact",Preposition,ar,bore,morning,noun-masc,Cychwynnwn ni ar,Llun.,fore,SM,"In time phrases, ar can soft-mutate b → f, so bore → fore (ar fore Llun).","Mewn ymadroddion amser, gall ar dreiglo b → f, felly bore → fore (ar fore Llun)."
c000803,"Soft, Contact",Preposition,ar,prynhawn,afternoon,noun-masc,Mae’r gêm ar,Sadwrn.,brynhawn,SM,"ar makes the next word start “softer” (soft mutation): p → b, so prynhawn → brynhawn in ar brynhawn Sadwrn.","Mae ar yn achosi treiglad meddal: p → b, felly prynhawn → brynhawn yn ar brynhawn Sadwrn."
c000804,"Soft, Contact",Preposition,ar,toriad,break / dawn-break (in phrase),noun-masc,Cawn ni gwrdd ar,y wawr.,doriad,SM,"After ar, soft mutation happens: t → d, so toriad → doriad in the fixed phrase ar doriad y wawr (“at dawn”).","Ar ôl ar, ceir treiglad meddal: t → d, felly toriad → doriad yn ar doriad y wawr (“at dawn”)."
c000805,"Soft, Contact",Preposition,ar,troad,turn (in phrase),noun-masc,Cyhoeddir y canlyniadau ar,y flwyddyn.,droad,SM,"ar triggers soft mutation: t → d, so troad → droad in ar droad y flwyddyn (“at the turn of the year”).","Mae ar yn achosi treiglad meddal: t → d, felly troad → droad yn ar droad y flwyddyn (“at the turn of the year”)."
c000806,"Soft, Contact",Preposition,tan,dechrau,beginning / start,noun-masc,Arhoswn ni tan,’r tymor.,ddechrau,SM,"tan (“until”) soft-mutates the next noun: d → dd, so dechrau → ddechrau.","Mae tan (“until”) yn treiglo’r enw nesaf yn feddal: d → dd, felly dechrau → ddechrau."
c000807,"Soft, Contact",Preposition,tan,diwedd,end,noun-masc,Bydd y gwaith yn parhau tan,y flwyddyn.,ddiwedd,SM,"tan causes soft mutation: d → dd, so diwedd → ddiwedd (tan ddiwedd y flwyddyn).","Mae tan yn achosi treiglad meddal: d → dd, felly diwedd → ddiwedd (tan ddiwedd y flwyddyn)."
c000808,"Soft, Contact",Preposition,tan,canol,middle,noun-masc,Ar gau tan,y mis.,ganol,SM,"tan soft-mutates: c → g, so canol → ganol (tan ganol y mis).","Mae tan yn treiglo’n feddal: c → g, felly canol → ganol (tan ganol y mis)."
c000809,"Soft, Contact",Preposition,hyd,diwedd,end,noun-masc,Mae’r tocynnau’n ddilys hyd,y chwarter.,ddiwedd,SM,"hyd (“up to”) soft-mutates the next noun: d → dd, so diwedd → ddiwedd.","Mae hyd (“up to”) yn achosi treiglad meddal: d → dd, felly diwedd → ddiwedd."
c000810,"Soft, Contact",Preposition,hyd,dechrau,beginning / start,noun-masc,Cawn ni ddisgwyl hyd,’r gwanwyn.,ddechrau,SM,"After hyd, soft mutation: d → dd, so dechrau → ddechrau.","Ar ôl hyd, treiglad meddal: d → dd, felly dechrau → ddechrau."
c000811,"Soft, Contact",Preposition,hyd,canol,middle,noun-masc,Bydd hi’n gynnes hyd,yr haf.,ganol,SM,"hyd soft-mutates: c → g, so canol → ganol.","Mae hyd yn treiglo’n feddal: c → g, felly canol → ganol."
c000812,"Soft, Contact",Preposition,at,dechrau,beginning / start,noun-masc,Anfonwch y papurau at,’r wythnos.,ddechrau,SM,"at soft-mutates the following noun: d → dd, so dechrau → ddechrau.","Mae at yn achosi treiglad meddal: d → dd, felly dechrau → ddechrau."
c000813,"Soft, Contact",Preposition,at,diwedd,end,noun-masc,Rhaid i ni orffen at,yr wythnos.,ddiwedd,SM,"at causes soft mutation: d → dd, so diwedd → ddiwedd (deadline-type phrase).","Mae at yn achosi treiglad meddal: d → dd, felly diwedd → ddiwedd (ymadrodd terfyn-amser)."
c000814,"Soft, Contact",Preposition,at,canol,middle,noun-masc,Bydd y canlyniadau at,y mis.,ganol,SM,"After at, c → g, so canol → ganol (at ganol y mis).","Ar ôl at, c → g, felly canol → ganol (at ganol y mis)."
c000815,"Soft, Contact",Preposition,o,bore,morning,noun-masc,Byddwn ni yma o,Llun tan nos Wener.,fore,SM,"o soft-mutates in time phrases: b → f, so bore → fore (o fore Llun = “from Monday morning”).","Mae o yn treiglo’n feddal mewn ymadroddion amser: b → f, felly bore → fore (o fore Llun = “from Monday morning”)."
c000816,"Soft, Contact",Preposition,o,prynhawn,afternoon,noun-masc,Mae’r siop ar agor o,Sadwrn tan brynhawn Sul.,brynhawn,SM,"After o, soft mutation: p → b, so prynhawn → brynhawn (o brynhawn Sadwrn).","Ar ôl o, treiglad meddal: p → b, felly prynhawn → brynhawn (o brynhawn Sadwrn)."
c000817,"Soft, Contact",Preposition,dros,penwythnos,weekend,noun-masc,Bydd y ffordd ar gau dros,.,benwythnos,SM,"dros soft-mutates: p → b, so penwythnos → benwythnos.","Mae dros yn achosi treiglad meddal: p → b, felly penwythnos → benwythnos."
c000818,"Soft, Contact",TimeExpressions,noson,Mawrth,Tuesday,day,Cawn ni gyfarfod Noson,", yn y ganolfan.",Fawrth,SM,"In Noson + day-name (“Tuesday night”), the day-name soft-mutates: m → f, so Mawrth → Fawrth.","Yn Noson + enw dydd (“nos Fawrth”), mae’r enw dydd yn treiglo’n feddal: m → f, felly Mawrth → Fawrth."
c000819,"Soft, Contact",TimeExpressions,noson,Mercher,Wednesday,day,Gig fach Noson,", dewch draw.",Fercher,SM,"After Noson, the day-name soft-mutates: m → f, so Mercher → Fercher.","Ar ôl Noson, mae enw’r dydd yn treiglo’n feddal: m → f, felly Mercher → Fercher."
c000820,"Soft, Contact",TimeExpressions,noson,Gwener,Friday,day,Cinio teulu Noson,", am saith.",Wener,SM,"After Noson, g- drops in soft mutation, so Gwener → Wener.","Ar ôl Noson, mae g- yn diflannu mewn treiglad meddal, felly Gwener → Wener."
c000821,"Soft, Contact",Preposition,ar,dechrau,beginning / start,noun-masc,Trefnwn ni hyfforddiant ar,’r tymor newydd.,ddechrau,SM,"ar soft-mutates: d → dd, so dechrau → ddechrau (ar ddechrau’r tymor newydd).","Mae ar yn treiglo’n feddal: d → dd, felly dechrau → ddechrau (ar ddechrau’r tymor newydd)."
c000822,"Soft, Contact",Determiner,llawer,cais,application,noun-masc,Cawsom llawer o,yr wythnos hon.,gais,SM,"In the “quantifier + o” pattern (like llawer o), the next word often soft-mutates: c → g, so cais → gais.","Yn y patrwm “meintiolydd + o” (e.e. llawer o), mae’r gair nesaf yn aml yn treiglo’n feddal: c → g, felly cais → gais."
c000823,None,Determiner,ychydig,amynedd,patience,noun-masc,Mae gen i ychydig o,ar ôl y dydd hir.,amynedd,NONE,"The pattern is there, but words starting with a vowel don’t show a visible change, so amynedd stays amynedd.","Mae’r patrwm yno, ond nid yw geiriau sy’n dechrau gyda llafariad yn dangos newid, felly mae amynedd yn aros yn amynedd."
c000824,None,Determiner,mwy,syniadau,ideas,noun-pl,Mae angen mwy o,ar gyfer y prosiect.,syniadau,NONE,"s- doesn’t change in soft mutation, so syniadau stays the same after mwy o.","Nid yw s- yn newid mewn treiglad meddal, felly mae syniadau yn aros yr un fath ar ôl mwy o."
c000825,"Soft, Contact",Determiner,llai,pwysau,pressure,noun-masc,Rydw i eisiau llai o,arnaf i erbyn y gwanwyn.,bwysau,SM,"In llai o …, soft mutation: p → b, so pwysau → bwysau.","Yn llai o …, treiglad meddal: p → b, felly pwysau → bwysau."
c000826,"Soft, Contact",Determiner,digon,buddion,benefits,noun-pl,Mae digon o,i wneud i’r cynllun werth chweil.,fuddion,SM,"In digon o …, soft mutation: b → f, so buddion → fuddion.","Yn digon o …, treiglad meddal: b → f, felly buddion → fuddion."
c000827,"Soft, Contact",Determiner,llawer,ceisiadau,applications,noun-pl,Daeth llawer o,dîm y gogledd ddoe.,geisiadau,SM,"After llawer o, c → g, so ceisiadau → geisiadau.","Ar ôl llawer o, c → g, felly ceisiadau → geisiadau."
c000828,"Soft, Contact",Determiner,ychydig,pethau,things,noun-pl,Mae ganddyn nhw ychydig o,i’w cwblhau eto.,bethau,SM,"After ychydig o, p → b, so pethau → bethau.","Ar ôl ychydig o, p → b, felly pethau → bethau."
c000829,"Soft, Contact",Determiner,mwy,cyfleoedd,opportunities,noun-pl,Rydym am greu mwy o,i siarad Cymraeg.,gyfleoedd,SM,"After mwy o, c → g, so cyfleoedd → gyfleoedd.","Ar ôl mwy o, c → g, felly cyfleoedd → gyfleoedd."
c000830,"Soft, Contact",Determiner,llai,traffig,traffic,noun-masc,Gobeithiwn am llai o,yn y boreau.,draffig,SM,"After llai o, t → d, so traffig → draffig.","Ar ôl llai o, t → d, felly traffig → draffig."
c000831,None,Determiner,digon,ffrwythau,fruit,noun-pl,Mae digon o,yn y fasged eisoes.,ffrwythau,NONE,"ff- doesn’t change in soft mutation, so you won’t see a difference: ffrwythau stays ffrwythau.","Nid yw ff- yn newid mewn treiglad meddal, felly nid oes newid i’w weld: mae ffrwythau yn aros yn ffrwythau."
c000832,None,Determiner,rhywfaint,enwau,names,noun-pl,Mae rhywfaint o,ar y rhestr eisoes.,enwau,NONE,"Vowel-starting words don’t show a change in soft mutation, so enwau stays enwau.","Nid yw geiriau sy’n dechrau gyda llafariad yn dangos newid mewn treiglad meddal, felly mae enwau yn aros yn enwau."
c000833,None,Determiner,tipyn,newid,change,noun-masc,Gwnaethon nhw tipyn o,yn y rheolau llynedd.,newid,NONE,"Soft mutation doesn’t change n-, so newid stays the same.","Nid yw treiglad meddal yn newid n-, felly mae newid yn aros yr un fath."
c000834,"Soft, Contact",Determiner,llawer,cydweithrediad,cooperation,noun-masc,Mae angen llawer o,rhwng yr adrannau.,gydweithrediad,SM,"After llawer o, c → g, so cydweithrediad → gydweithrediad.","Ar ôl llawer o, c → g, felly cydweithrediad → gydweithrediad."
c000835,"Soft, Contact",Determiner,ychydig,blychau,boxes,noun-pl,Mae ganddo ychydig o,yn y storfa.,flychau,SM,"After ychydig o, b → f, so blychau → flychau.","Ar ôl ychydig o, b → f, felly blychau → flychau."
c000836,"Soft, Contact",Determiner,mwy,cyflogau,salaries,noun-pl,Byddai mwy o,yn denu mwy o ymgeiswyr.,gyflogau,SM,"After mwy o, c → g, so cyflogau → gyflogau.","Ar ôl mwy o, c → g, felly cyflogau → gyflogau."
c000837,"Soft, Contact",Determiner,llai,bryder,worry,noun-masc,Hoffwn weld llai o,yn y gweithle.,fryder,SM,"After llai o, b → f, so bryder → fryder.","Ar ôl llai o, b → f, felly bryder → fryder."
c000838,"Soft, Contact",Determiner,digon,cennin,leeks,noun-pl,Mae digon o,ar y farchnad heddiw.,gennin,SM,"After digon o, c → g, so cennin → gennin.","Ar ôl digon o, c → g, felly cennin → gennin."
c000839,"Soft, Contact",Determiner,llawer,cathod,cats,noun-pl,Clywsom llawer o,yn y stryd neithiwr.,gathod,SM,"After llawer o, c → g, so cathod → gathod.","Ar ôl llawer o, c → g, felly cathod → gathod."
c000840,"Soft, Contact",Determiner,ychydig,manteision,advantages,noun-pl,Roedd ychydig o,i’w gweld ar unwaith.,fanteision,SM,"After ychydig o, m → f, so manteision → fanteision.","Ar ôl ychydig o, m → f, felly manteision → fanteision."
c000841,"Soft, Contact",Determiner,mwy,dewisiadau,choices,noun-pl,Mae mwy o,ar gael ar-lein erbyn hyn.,ddewisiadau,SM,"After mwy o, d → dd, so dewisiadau → ddewisiadau.","Ar ôl mwy o, d → dd, felly dewisiadau → ddewisiadau."
c000842,"Soft, Contact",Determiner,llai,dyluniadau,designs,noun-pl,Bydd llai o,’n cyrraedd yr wythnos nesaf.,ddyluniadau,SM,"After llai o, d → dd, so dyluniadau → ddyluniadau.","Ar ôl llai o, d → dd, felly dyluniadau → ddyluniadau."
c000843,"Soft, Contact",Determiner,digon,gwesteion,guests,noun-pl,Roedd digon o,yn y digwyddiad ffurfiol.,westeion,SM,"With soft mutation, g- can drop at the start: gwesteion → westeion.","Mewn treiglad meddal, gall g- ddiflannu ar y dechrau: gwesteion → westeion."
c000844,"Soft, Contact",Determiner,tipyn,gwres,heat,noun-masc,Cafwyd tipyn o,yn y neuadd heno.,wres,SM,Soft mutation drops initial g-: gwres → wres after tipyn o.,Mae treiglad meddal yn gollwng g- ar y dechrau: gwres → wres ar ôl tipyn o.
c000845,"Soft, Contact",Determiner,rhywfaint,rhesymau,reasons,noun-pl,Mae rhywfaint o,drosbwyll i fod yn ofalus.,resymau,SM,"Soft mutation turns rh → r, so rhesymau → resymau.","Mae treiglad meddal yn newid rh → r, felly rhesymau → resymau."
c000846,None,Determiner,llawer,ymatebion,responses,noun-pl,Cawsom llawer o,drwy’r ffurflen.,ymatebion,NONE,"Starts with a vowel, so there’s no visible change: ymatebion stays ymatebion.","Mae’n dechrau gyda llafariad, felly nid oes newid i’w weld: mae ymatebion yn aros yn ymatebion."
c000847,"Soft, Contact",Interrogative,pa,drws,door,noun-masc,Pa,sy'n agored heno?,ddrws,SM,"Pa (“which/what”) makes the next noun start softer: d → dd, so drws → ddrws.","Mae Pa (“which/what”) yn achosi treiglad meddal ar yr enw sy’n dilyn: d → dd, felly drws → ddrws."
c000848,"Soft, Contact",Interrogative,pa,ci,dog,noun-masc,Pa,wyt ti'n ei ddewis?,gi,SM,"After Pa, c → g, so ci → gi.","Ar ôl Pa, c → g, felly ci → gi."
c000849,"Soft, Contact",Interrogative,pa,cath,cat,noun-fem,Pa,sy'n well gyda phlant?,gath,SM,"After Pa, c → g, so cath → gath.","Ar ôl Pa, c → g, felly cath → gath."
c000850,"Soft, Contact",Interrogative,pa,merch,girl,noun-fem,Pa,a gyrhaeddodd gyntaf?,ferch,SM,"After Pa, m → f, so merch → ferch.","Ar ôl Pa, m → f, felly merch → ferch."
c000851,"Soft, Contact",Interrogative,pa,dyn,man,noun-masc,Pa,wnaeth ofyn y cwestiwn?,ddyn,SM,"After Pa, d → dd, so dyn → ddyn.","Ar ôl Pa, d → dd, felly dyn → ddyn."
c000852,"Soft, Contact",Interrogative,pa,plentyn,child,noun-masc,Pa,sy'n berchen ar y bag glas?,blentyn,SM,"After Pa, p → b, so plentyn → blentyn.","Ar ôl Pa, p → b, felly plentyn → blentyn."
c000853,"Soft, Contact",Interrogative,pa,cadair,chair,noun-fem,Pa,hoffet ti eistedd arni?,gadair,SM,"After Pa, c → g, so cadair → gadair.","Ar ôl Pa, c → g, felly cadair → gadair."
c000854,"Soft, Contact",Interrogative,pa,tŷ,house,noun-masc,Pa,yw rhif saith?,dŷ,SM,"After Pa, t → d, so tŷ → dŷ.","Ar ôl Pa, t → d, felly tŷ → dŷ."
c000855,"Soft, Contact",Interrogative,pa,rhan,part,noun-fem,Pa,o'r ffilm oedd orau?,ran,SM,"Soft mutation changes rh → r, so rhan → ran after Pa.","Mae treiglad meddal yn newid rh → r, felly rhan → ran ar ôl Pa."
c000856,"Soft, Contact",Interrogative,pa,llyfr,book,noun (masc.),Pa,wnest ti ei orffen ddoe?,lyfr,SM,"In Pa + noun questions, the noun often “softens” at the start: ll → l, so llyfr → lyfr.","Mewn cwestiwn Pa + enw, mae’r enw’n aml yn “meddalu” ar y dechrau: ll → l, felly llyfr → lyfr."
c000857,"Soft, Contact",Interrogative,pa,gair,word,noun (masc.),Pa,wyt ti'n chwilio amdano?,air,SM,"After Pa, some words lose an initial g- in soft mutation: gair → air.","Ar ôl Pa, mae rhai geiriau’n colli g- ar y dechrau: gair → air."
c000858,"Soft, Contact",Interrogative,pa,pobl,people,noun (plural),Pa,sy'n aros tu allan?,bobl,SM,"Pa can soften p → b, so pobl is written bobl here.","Gall Pa achosi p → b, felly pobl yn dod yn bobl yma."
c000859,"Soft, Contact",Interrogative,pa,problem,problem,noun (fem.),Pa,ddylem ni ei datrys gyntaf?,broblem,SM,"After Pa, soft mutation gives p → b: problem → broblem.","Ar ôl Pa, mae treiglad meddal yn rhoi p → b: problem → broblem."
c000860,None,Interrogative,pa,ysgol,school,noun (fem.),Pa,wyt ti'n ei ffafrio?,ysgol,NONE,"ysgol begins with a vowel sound (spelt with y-), so there’s no visible change after Pa.","Mae ysgol yn dechrau gyda sain llafariad (y-), felly does dim newid i’w weld ar ôl Pa."
c000861,None,Interrogative,pa,stori,story,noun (fem.),Pa,hoffet ti ei darllen?,stori,NONE,"Soft mutation doesn’t change s-, so stori stays stori after Pa.","Nid yw treiglad meddal yn newid s-, felly mae stori yn aros yr un fath."
c000862,"Soft, Contact",Interrogative,mor,drud,expensive,adjective,Pa mor,yw'r tocyn?,ddrud,SM,"In Pa mor + adjective (“How …?”), the adjective softens: d → dd, so drud → ddrud.","Yn Pa mor + ansoddair (“Pa mor …?”), mae’r ansoddair yn treiglo: d → dd, felly drud → ddrud."
c000863,"Soft, Contact",Interrogative,mor,clir,clear,adjective,Pa mor,oedd yr esboniad?,glir,SM,"Pa mor + adjective causes soft mutation: c → g, so clir → glir.","Mae Pa mor + ansoddair yn achosi treiglad meddal: c → g, felly clir → glir."
c000864,"Soft, Contact",Interrogative,mor,mawr,big,adjective,Pa mor,yw'r broblem?,fawr,SM,"In this question frame, m → f, so mawr → fawr.","Yn y ffram cwestiwn yma, m → f, felly mawr → fawr."
c000865,"Soft, Contact",Interrogative,mor,tew,thick,adjective,Pa mor,yw'r papur?,dew,SM,t → d in soft mutation here: tew → dew.,t → d yma: tew → dew.
c000866,"Soft, Contact",Interrogative,mor,clyd,cosy,adjective,Pa mor,yw'r ystafell?,glyd,SM,c → g: clyd → glyd in Pa mor …? questions.,c → g: clyd → glyd mewn cwestiynau Pa mor …?
c000867,None,Interrogative,mor,rhad,cheap,adjective,Pa mor,yw'r pris?,rhad,NONE,"Soft mutation doesn’t show on rh-, so rhad stays rhad.","Nid yw treiglad meddal yn dangos newid gyda rh-, felly rhad yn aros rhad."
c000868,"Soft, Contact",Interrogative,A (question particle),daw,(he/she) will come,verb,A,e heno?,ddaw,SM,"In formal questions, the small question word A softens the next verb: d → dd, so daw → ddaw.","Mewn cwestiynau ffurfiol, mae’r gair bach A yn treiglo’r ferf: d → dd, felly daw → ddaw."
c000869,"Soft, Contact",Interrogative,A (question particle),torrodd,(he/she) broke,verb,A,hi'r rheol?,dorrodd,SM,"A (question particle) causes soft mutation: t → d, so torrodd → dorrodd.","Mae A (cwestiwn) yn achosi treiglad meddal: t → d, felly torrodd → dorrodd."
c000870,"Soft, Contact",Interrogative,A (question particle),prynodd,(he/she) bought,verb,A,e'r tocyn ddoe?,brynodd,SM,"After question A, p → b, so prynodd → brynodd.","Ar ôl A (cwestiwn), p → b, felly prynodd → brynodd."
c000871,"Soft, Contact",Interrogative,A (question particle),gwelwch,you see,verb,A,chi'r arwydd?,welwch,SM,Soft mutation can drop initial g-: gwelwch → welwch after formal question A.,Gall treiglad meddal ollwng g-: gwelwch → welwch ar ôl A (cwestiwn ffurfiol).
c000872,None,Interrogative,A (question particle),oes,there is/are,verb,A,ddigon o amser?,oes,NONE,"You say A oes …? in formal questions. oes starts with a vowel, so there’s no visible softening.","Dywedir A oes …?. Mae oes yn dechrau gyda llafariad, felly does dim newid i’w weld."
c000873,"Soft, Contact",Article,’r,blwyddyn,year,noun-fem,Dw i'n cofio'r,hon yn dda.,flwyddyn,SM,"With the definite article ’r, a feminine singular noun usually softens: b → f, so blwyddyn → flwyddyn.","Gyda’r fannod ’r, mae enw benywaidd unigol fel arfer yn treiglo: b → f, felly blwyddyn → flwyddyn."
c000874,"Soft, Contact",Article,’r,merch,girl,noun-fem,Mae'r,yn aros tu allan.,ferch,SM,"Feminine singular after ’r: m → f, so merch → ferch.","Enw benywaidd unigol ar ôl ’r: m → f, felly merch → ferch."
c000875,"Soft, Contact",Article,’r,mam,mother,noun-fem,Mae'r,ar y ffôn.,fam,SM,"Feminine singular after ’r: m → f, so mam → fam.","Enw benywaidd unigol ar ôl ’r: m → f, felly mam → fam."
c000876,"Soft, Contact",Article,y,taith,trip,noun-fem,Roedd y,"yn flinedig, ond yn braf.",daith,SM,"Feminine singular after y: t → d, so taith → daith.","Enw benywaidd unigol ar ôl y: t → d, felly taith → daith."
c000877,"Soft, Contact",Article,’r,cerddoriaeth,music,noun-fem,Dw i'n hoffi'r,yn fawr.,gerddoriaeth,SM,"Feminine singular after ’r: c → g, so cerddoriaeth → gerddoriaeth.","Enw benywaidd unigol ar ôl ’r: c → g, felly cerddoriaeth → gerddoriaeth."
c000878,"Soft, Contact",Article,’r,cyfres,series,noun-fem,Wyt ti'n gwylio'r,newydd?,gyfres,SM,"Feminine singular after ’r: c → g, so cyfres → gyfres.","Enw benywaidd unigol ar ôl ’r: c → g, felly cyfres → gyfres."
c000879,"Soft, Contact",Article,’r,cymdeithas,society,noun-fem,Mae'r,yn newid yn gyflym.,gymdeithas,SM,"Feminine singular after ’r: c → g, so cymdeithas → gymdeithas.","Enw benywaidd unigol ar ôl ’r: c → g, felly cymdeithas → gymdeithas."
c000880,"Soft, Contact",Article,’r,cymuned,community,noun-fem,Mae'r,yn helpu pawb.,gymuned,SM,"Feminine singular after ’r: c → g, so cymuned → gymuned.","Enw benywaidd unigol ar ôl ’r: c → g, felly cymuned → gymuned."
c000881,"Soft, Contact",Article,’r,canolfan,centre,noun-fem,Dw i'n mynd i'r,bob wythnos.,ganolfan,SM,"Feminine singular after ’r: c → g, so canolfan → ganolfan.","Enw benywaidd unigol ar ôl ’r: c → g, felly canolfan → ganolfan."
c000882,"Soft, Contact",Article,y,cân,song,noun-fem,Gwranda ar y,eto.,gân,SM,"Feminine singular after y: c → g, so cân → gân.","Enw benywaidd unigol ar ôl y: c → g, felly cân → gân."
c000883,"Soft, Contact",Article,’r,cerdd,poem / piece,noun-fem,Clywais i'r,ar y radio.,gerdd,SM,"Feminine singular after ’r: c → g, so cerdd → gerdd.","Enw benywaidd unigol ar ôl ’r: c → g, felly cerdd → gerdd."
c000884,"Soft, Contact",Article,’r,cyfraith,law,noun-fem,Mae'r,yn glir.,gyfraith,SM,"Feminine singular after ’r: c → g, so cyfraith → gyfraith.","Enw benywaidd unigol ar ôl ’r: c → g, felly cyfraith → gyfraith."
c000885,"Soft, Contact",Article,’r,dadl,argument/debate,noun-fem,Mae'r,yn parhau.,ddadl,SM,"Feminine singular after ’r: d → dd, so dadl → ddadl.","Enw benywaidd unigol ar ôl ’r: d → dd, felly dadl → ddadl."
